Entry Point,Description,Method,사용 가능 API,상태,텍스트
/users/signup,회원가입,POST,No,시작 전,
/users/nickname,닉네임 변경,PATCH,No,시작 전,
/users/resign,회원탈퇴,DELETE,No,시작 전,
/users/profilepic,프로필 사진 변경,PATCH,No,시작 전,
/users/logout,로그아웃,DELETE,No,시작 전,
/users/{userId},프로필 조회,GET,No,시작 전,
/users/login,로그인,POST,No,시작 전,
/users/wish,"내 찜한 도서  조회 ",GET,No,시작 전,
/users/wish/{isbn},"내 찜한 도서 삭제 ",DELETE,No,시작 전,
/users/coldstart/nickname,콜드스타트 - 닉네임 설정,POST,No,시작 전,
/users/wish/{isbn},내 찜한 도서 추가,POST,No,시작 전,
/users/public,"프로필 공개 여부 변경 ",PATCH,No,시작 전,
/users/hightlights,내가 친 하이라이트 조회,GET,No,시작 전,
/users/booklist?q={…},‘좋아요’한 도서/최근 읽은 도서 조회,GET,No,시작 전,
/users/book/{isbn},내 서재 도서 삭제,DELETE,No,시작 전,
/users/book,내 서재 도서 조회,GET,No,시작 전,
/users/coldstart/profile_info,콜드스타트 - 추가 정보 입력,POST,No,시작 전,
/users/coldstart/tags,콜드스타트 - 관심 태그 설정,POST,No,시작 전,
/users/coldstart/books,콜드스타트 - 관심 책 설정,POST,No,시작 전,
